POSTCODE,TOWNNAME,SUBURBNAME,STREETNAME,HOUSENUMBER,CUSTOM1,SORTINFO
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1050, ROAD,16500238
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1066B, ROAD,16500239
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1066E, ROAD,16500240
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1066A, ROAD,16500241
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1066C, ROAD,16500242
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1066D, ROAD,16500243
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,A1/1066, ROAD,16500244
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,A2/1066, ROAD,16500245
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,A3/1066, ROAD,16500246
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,A4/1066, ROAD,16500247
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B1/1066, ROAD,16500248
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B10/1066, ROAD,16500249
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B11/1066, ROAD,16500250
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B13/1066, ROAD,16500251
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B14/1066, ROAD,16500252
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B2/1066, ROAD,16500253
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B3/1066, ROAD,16500254
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B6/1066, ROAD,16500255
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B8/1066, ROAD,16500256
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B9/1066, ROAD,16500257
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,C4/1066, ROAD,16500258
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,C5/1066, ROAD,16500259
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,A5/1066, ROAD,16500260
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,C1/1066, ROAD,16500261
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,C2/1066, ROAD,16500262
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,C3/1066, ROAD,16500263
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B12/1066, ROAD,16500264
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B4/1066, ROAD,16500265
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B5/1066, ROAD,16500266
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,B7/1066, ROAD,16500267
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1072, ROAD,16500268
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1076, ROAD,16500269
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT RICHMOND,4, DRIVE,16500270
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT RICHMOND,14, DRIVE,16500272
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT RICHMOND,6, DRIVE,16500273
1060,AUCKLAND,MOUNT WELLINGTON,DORAVAL,2, PLACE,16500274
1060,AUCKLAND,MOUNT WELLINGTON,DORAVAL,7, PLACE,16500275
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1102, ROAD,16500276
1060,AUCKLAND,MOUNT WELLINGTON,DORAVAL,5, PLACE,16500277
1060,AUCKLAND,MOUNT WELLINGTON,DORAVAL,3, PLACE,16500278
1060,AUCKLAND,MOUNT WELLINGTON,MOUNT RICHMOND,5, DRIVE,16500279
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1080, ROAD,16500280
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1086, ROAD,16500281
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1096, ROAD,16500282
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1100, ROAD,16500283
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1108, ROAD,16500284
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1106, ROAD,16500285
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,1120, ROAD,16500286
1060,AUCKLAND,MOUNT WELLINGTON,PORTAGE,131, ROAD,16502834
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,851, ROAD,16502835
1060,AUCKLAND,MOUNT WELLINGTON,PORTAGE,1/131, ROAD,16502836
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,851A, ROAD,16502837
1060,AUCKLAND,MOUNT WELLINGTON,PORTAGE,2/131, ROAD,16502838
1060,AUCKLAND,MOUNT WELLINGTON,GREAT SOUTH,829, ROAD,16502839
